nombre,descripcion,precio,stock,id_tienda,id_categoria
Rodríguez,Aumento zona su da gonzález falta.,88.46,21,489,5
Boca,Alguna iglesia diario.,76.74,70,157,7
Mis,Tres razones madrid fiscal estados españa.,80.52,41,415,5
Decisión,Quiero dirección sino grado.,14.01,26,496,10
Adelante,Mi pequeño este mayores tu prueba entonces.,72.73,73,120,3
Camino,Proyectos naturaleza estados usted.,92.96,94,223,3
Dicen,Estaban eran pudo existencia actitud pensar.,15.02,7,41,10
Valores,Ideas lejos contra llama.,49.04,98,245,9
Pedro,Posición conocer precios producto ejército.,15.45,23,128,5
Experiencia,Fútbol entrada ver españa.,55.02,75,4,9
Papel,Día marco alguna programas importantes el pacientes.,59.83,31,140,10
Hermano,Juego médico puede.,85.72,42,97,8
Manuel,Esa acerca oficial incluso medidas libre.,97.23,24,279,4
Corazón,Mano etapa alguien misma entonces último estudio.,88.55,19,360,4
D,Hemos imágenes resto situación ciudad.,93.46,68,54,4
Lucha,Pudo ambiente europea hijo así.,19.38,57,283,7
Claro,Proceso estar construcción bastante justicia posibilidades.,86.92,51,180,2
Da,Esos casa control r madrid distintos.,28.66,54,59,4
Bueno,Cantidad llevar estados texto piel.,61.08,57,252,6
Ahora,He poder barcelona período construcción varios relación.,1.37,19,489,1
Opinión,U los tema antonio tampoco pública.,77.93,46,101,1
Energía,Fuentes hay actual.,73.82,95,368,8
Hechos,Punto voy tribunal tenemos.,90.86,90,108,9
Sabe,Menos según especie solo cuatro miguel palabra toda.,48.17,21,470,10
Resto,Respecto marzo ella juicio.,76.27,82,239,6
Aire,Pública grande conjunto acerca supuesto proyectos.,93.0,6,44,8
Poder,Muerto ésta embargo adelante.,55.35,85,28,7
Ver,Cuales dice mar nuevos resulta dar.,41.8,31,63,10
Orden,Aquel aquellas acción mundo cuenta casa padres.,98.83,77,475,5
Hubo,Serán comercio pasar grupos cierta.,10.14,28,419,2
Señor,Qué banco otro ante aquellas.,22.84,29,413,6
Fondo,Finalmente recuerdo de mitad dejar términos cuanto.,32.72,30,186,4
Hombre,Principal estado él.,62.0,98,247,2
Mundo,Palabra proyectos da secretario tengo tiempo.,48.63,78,480,10
Tenemos,Mano armas r aun.,83.17,18,150,4
Curso,Decisión causa tarde hay régimen económica principios mañana.,55.68,91,462,9
Felipe,Izquierda línea he aumento.,72.73,87,444,10
Sectores,Sangre respuesta jamás noviembre.,19.45,7,115,9
Pequeño,Público incluso amor pensar aspecto nueva embargo.,86.36,26,358,4
Servicio,Trabajo carta quiere flores.,46.73,50,167,9
Empresa,Encima quiere octubre ellos participación río.,90.37,69,78,5
Momento,Humanos gracias social nacional crecimiento principio más.,35.66,75,34,2
Mucha,Hija primero aquella américa.,20.79,11,160,10
Población,Mejores embargo último aire c respuesta ahora.,96.64,52,194,5
Corte,Defensa lucha nuestras respuesta nuestro él.,64.09,61,196,1
Marzo,Estaba río dijo.,26.72,10,412,6
Mayo,Lucha donde ambos plan reunión amor.,13.1,54,351,5
Siquiera,Derecha comunidad sería.,35.35,58,374,6
Derecha,Gran dijo precio muerte.,17.81,68,209,9
Evitar,Podrá larga ocasión comunidad.,86.81,42,65,8
Ellas,Camino algunos premio manos.,75.51,41,173,4
Su,Horas j ex cómo dar habla j.,65.43,87,22,6
Podría,Imágenes nuevas momento primero.,82.17,24,228,1
Situación,Pp busca expresión unión cuya aquel p pacientes.,97.76,34,370,2
Fecha,Estos siguientes tanto área ejército siglo.,70.37,22,262,8
Ambos,Segundo pueda estos r volvió.,80.14,23,194,4
Diversos,Movimiento se españa cuanto objetivo cuando.,57.26,42,149,6
Distintas,Española padre hechos además material millones líder.,36.32,70,368,10
Viene,Será parte juez volver viene servicio investigación amigos.,68.81,45,343,8
Primer,Cada paz semanas aquel datos.,12.42,90,114,5
Hijos,Participación dan cuya voy primeras.,59.3,49,47,1
Toda,Reforma amigos vez resulta aquel metros.,70.38,23,235,1
Visita,Propio luis ninguna fuerzas cuba.,92.62,20,23,4
Nombre,Orden posibilidad principal también hija josé.,61.29,34,316,4
Como,Octubre calle n parecía después zonas.,97.9,20,379,1
Sea,Luz aquellos propia dejar apoyo.,10.52,57,446,9
Podía,Nos tierra largo lado seguir economía partido.,80.46,46,191,6
Atrás,Reforma mujer mitad dinero era.,46.89,68,343,4
Arriba,Dio rey viene habían.,4.78,57,281,9
Lejos,Capaz energía todo g noviembre.,99.5,29,299,10
Puerto,Flores serán modelo sería buscar años otro favor.,37.85,65,284,4
Mí,Español plan equipo.,47.85,8,377,10
Real,Estaban especie pueblo muestra buenos.,27.87,30,13,3
Tenemos,Sangre música gobierno carta ministro.,91.59,21,296,9
Gracias,Actividades estudios dejar ahora ciudad hacerlo superior.,65.97,7,228,7
Nuestros,Favor jamás fuerza cine i.,34.23,76,368,1
Deja,Industria peso soy tenemos mí final nuevo precisamente.,40.87,26,362,2
Modo,Mercado luz ella estuvo.,6.55,31,338,2
Central,Propuesta para número derecho.,84.52,33,319,7
Etapa,También salida tenemos joven deben vuelve blanca.,72.62,44,302,4
Ésta,Hay electoral presente carrera quiero.,61.8,41,382,6
Justicia,Misma programas haber madrid especial cama riesgo.,9.03,36,388,4
Todo,Conjunto anterior semana estaba joven.,96.82,40,360,4
Pesetas,Ministerio vuelve su existe.,83.98,92,326,8
Día,Otros años madre perdido través humanos.,39.47,17,149,7
Obras,Hija será costa tema la.,70.89,72,34,2
Instituto,Trata líder se demás.,68.46,78,459,9
Conseguir,Por mañana aspecto paso único.,43.35,32,437,7
Puerta,Ha acciones ideas arriba formación.,34.82,33,472,2
Como,Particular cuando mayores izquierda cabeza sé.,59.41,63,416,9
Debido,Dan pensar naturaleza esfuerzo minutos banco.,55.22,81,305,6
Haciendo,Estoy nuestra argentina comercio.,59.53,86,269,10
Mientras,Principales ministro puerto presente condiciones cosa existencia.,84.22,97,303,2
Apoyo,Cabo creación grandes última luz.,27.08,32,209,8
Plazo,Hablar todas energía quedó.,43.87,47,384,8
Dos,Tiempo única ayer en.,83.32,5,395,4
Llega,Doctor especialmente fuera misma principios hacía mujer.,19.59,59,176,8
Aquel,Resto cabeza cuanto revolución instituto.,93.18,21,26,5
Tiempo,Apenas puerto persona persona.,56.03,6,123,8
Carta,Vino todos otro arriba forma mantener.,24.09,48,396,1
Ha,Tratamiento podría incluso intereses blanca quedó.,89.91,98,493,1
A,Realizar s carlos.,23.07,39,451,4
Dice,Padres habían habrá donde.,59.74,53,153,2
Juego,Época condiciones queda autoridades toma.,38.56,21,250,3
Demasiado,Prueba final tu nuevas.,38.01,78,30,5
Pasa,A lucha deja.,37.88,8,124,6
Hombres,Solamente figura futuro actitud mayores espera.,89.42,81,464,9
Encuentro,Calle político río junio.,83.81,12,116,2
Quiero,Formas crisis grupos tener.,93.15,93,191,3
Va,Contenido mes deja único cierta pregunta.,49.86,86,367,2
Creación,Solución socialista unidad aunque.,71.39,9,184,4
Favor,Dicho ayuda interior nuestro pueblo cine presenta familia.,85.57,38,275,8
Propia,Otras última situación tipo mal.,99.64,55,295,7
Último,Te prensa allí viejo cambio.,8.51,30,498,5
Respecto,Nivel encima hombres organización llegar como.,73.01,11,302,5
Me,Líder flores experiencia hasta propio este gente.,39.42,90,30,4
Orden,Más peor intereses.,26.11,78,10,9
Puntos,Ésta local r importantes tenían.,81.77,67,214,4
Cuando,Mí dos mujer quienes.,76.7,90,362,4
Carrera,Buen militar idea habrá pueda minutos tras favor.,63.92,54,357,1
Vía,San somos música precisamente encuentro.,85.21,50,62,6
Organización,Historia entrada falta suerte distintas garcía sobre.,18.16,88,399,9
Tengo,Veces presenta estaban dirección.,90.3,10,105,9
Necesidad,Considera suerte aunque viaje mirada piel puso exterior.,12.53,99,342,1
Españoles,Barcelona según españoles.,43.61,74,123,9
Niños,Última hicieron deseo líder.,79.4,66,258,9
Interior,Necesario dolor g diversos.,26.33,44,277,7
Ambos,Nuestro defensa fácil pasado líder edad deben.,47.53,71,81,4
Torno,Parece administración socialista trata aún.,38.04,32,102,6
Grande,Palabras desde memoria manuel parece llega podría.,35.43,14,375,6
Hizo,Teoría sabe sus está central les dado.,34.4,47,81,4
Cosas,Idea lópez américa paciente poder.,28.66,22,134,1
Premio,Deben movimiento artículo señaló lugar septiembre.,32.34,52,120,3
Texto,Necesidad adelante gonzález segundo persona.,43.81,31,224,8
Dónde,Larga padre valor ministerio bastante.,51.71,80,3,2
Derechos,Estados industria mismos sean ejemplo aún libertad.,54.28,31,4,6
Qué,Diciembre voy ambos modelo estaba campo.,57.6,13,327,5
Niño,Es hubiera origen habla saber padres ley.,22.78,63,39,3
Cómo,Si amigos línea saber ocho violencia.,41.61,72,172,10
Voz,Queda ejemplo vez.,4.87,16,294,7
Felipe,Diversas especie materia posible aquellos.,76.19,65,77,2
Pronto,Incluso había o embargo otras prueba.,32.78,30,220,5
Premio,Distintas cantidad vamos nuevo frente civil nuevos.,20.67,83,156,1
Carne,Rodríguez pensar señor.,81.62,19,232,4
Tanto,Lucha partido unidos posición e tener francia.,99.89,61,434,5
Además,Plazo enfermedad materia oficial.,17.45,91,395,5
Permite,Mar campaña encontrar principios bastante podría.,84.37,50,445,7
Libros,Efectos unos términos plaza centro argentina todas riesgo.,79.92,55,382,10
Encontrar,Largo pone podía hay llevar jamás.,33.07,71,4,4
Puesto,Servicios país capacidad aquellas productos tema.,1.19,63,311,2
Sea,Jamás largo podía si saber.,46.6,8,172,8
Fiscal,Este pasó quizá.,50.99,27,198,6
Saber,Ambos éste buenos presencia llamado mayoría.,70.2,58,119,8
Grande,Ahora dan economía.,15.98,30,277,5
Mundial,Como bueno le derecha políticos.,31.52,66,172,4
Tampoco,Dice cuenta tribunal idea oficial.,70.75,62,410,1
Quedó,Rosa fácil hecho carlos revolución comunidad naturaleza.,55.22,90,200,8
Palabra,Rafael campo hicieron.,5.61,73,167,3
Mitad,Prueba poco cámara cinco pasar existen estoy.,74.19,60,211,3
Hacen,Dónde además cama menor.,45.83,35,380,6
Carrera,Proyectos objetivo ellos color.,29.7,51,391,3
Entre,Nuevo central rey nuestro parte humano haciendo ellas.,71.74,56,114,9
Fue,Falta enfermedad humano servicio están podía.,55.71,64,83,6
Si,Española médico i debe donde.,30.49,50,230,10
Posible,Toma libro teatro ellas boca mano reforma.,88.1,26,257,8
Contra,Miembros actitud parte relaciones política hacía antonio.,82.1,66,433,4
Hasta,Jefe unión te especial políticas.,96.05,91,305,7
Jóvenes,Siguiente modelo pablo g vuelve amigos méxico.,61.12,47,33,7
Muchas,Nueva prueba país sur.,34.75,25,187,6
Presencia,Seis argentina valores rodríguez.,40.6,56,285,3
Río,Decía ejemplo caso partir mayores.,41.71,13,457,9
Estos,Blanco les entonces quién ellas.,57.19,17,468,8
Solamente,Jefe corazón cambio medida había.,80.45,13,14,8
Embargo,Militar camino siglo instituto muerte.,7.74,50,393,1
Casa,Unos blanca teatro tener dicho vino.,35.84,57,10,4
Debido,Palabra cómo ministro teoría debe cuba pueblo.,85.36,46,115,3
Iba,Libertad puerto deben pregunta.,35.62,5,336,5
Pública,Piel zonas propio propios mayor esto septiembre puerto.,94.96,74,331,8
Francia,Era dar sólo diferentes seis.,14.76,44,337,4
Ninguna,Junto momento posibilidades por seguridad lucha antes permite.,31.65,21,437,9
Señor,Volver parís conjunto señor.,24.65,74,148,3
Bueno,Quién problemas obstante.,10.23,46,274,3
Cada,Tiempo muchos jefe.,18.43,29,492,2
Quizá,Quizá ese siete educación.,3.79,31,154,10
Norte,Pasar días gonzález principios humana según.,5.52,88,207,10
Concepto,Pública política energía aún permite vía sería.,79.01,25,356,5
Capaz,Período martín libertad programa.,54.71,87,357,10
Época,Cambios película mano te varios buenos siglo dos.,14.09,89,330,10
Instituciones,Debía dice estuvo horas tiempos francisco o.,66.69,15,421,2
Pueda,Mira aquellos cual garcía serán carta mayo imágenes.,48.72,36,61,9
Menos,Rodríguez son silencio modelo.,72.24,13,397,1
Pasa,Todavía algunos cuanto has parecía.,8.22,46,218,1
Pocos,Podría diversos nos cuarto palabras color alta.,70.08,100,377,6
Tiempo,Aquellas junio mucho.,63.52,91,393,6
Resto,Sido dice empresa esos mes socialista.,94.33,21,327,5
Algunas,Nuestro deseo calle como española contra.,26.66,89,448,3
Medio,Frente u punto mejor.,61.58,73,137,6
Autor,Final enfermedad local creo.,54.28,47,13,6
Productos,Cabeza interior mejor buena.,49.01,64,178,8
Lejos,Ser amor pueden comercio lópez horas.,59.56,68,466,3
Medios,Propios son existencia llega tienen formación.,39.97,87,497,3
Fue,Camino elecciones sigue joven ayer.,44.91,18,255,4
Policía,Temas instituto ni crisis todavía sino mis.,49.72,8,329,9
Desarrollo,Derecha cuenta años había gonzález.,70.82,50,41,5
Como,Razón fue bien realizar explicó dolor ley efectos.,17.97,76,63,3
Política,A quien p santa.,83.41,97,346,5
Hacen,Vía encuentran hija instituciones reforma próximo.,29.96,72,424,1
Políticos,Director voz niveles mira general madrid dejó.,94.22,50,125,3
Nada,Eran consecuencia alguna casos análisis modo pone.,44.48,24,101,3
Él,Casos favor manera vuelve vida.,15.68,23,257,9
Juez,Cinco sistema máximo recuerdo respuesta suerte tiempos.,76.55,59,166,6
Ojos,Abril además quizá.,60.59,84,414,10
Construcción,Serán siglo hechos premio.,6.69,31,217,9
Intereses,Distintas abril gracias libre marco.,33.26,43,386,1
Aquellos,República hijos millones importancia han.,8.05,71,374,7
Nuevos,Mercado paz central unidos siquiera aquel local violencia.,96.97,55,157,6
Ayer,Afirmó energía sean propio tu.,20.04,31,287,1
Producción,Actividades cuadro tienen cultural sangre través.,1.58,62,467,9
Deja,Aquí nosotros libro organización dos.,30.72,68,185,5
Presente,Le mar estilo causa destino diciembre y.,67.76,74,163,7
Creación,Cual se república.,3.75,90,378,7
Común,Pregunta naturaleza ii pesetas control maría sociedad.,81.51,51,439,6
Hombre,La especial entonces pasado amor presidente muy demasiado.,22.67,22,255,2
Unas,Miembros supuesto duda.,34.16,22,276,5
Fuerzas,Revolución temas humana sur bajo cuenta.,44.77,13,337,2
Siempre,Que pero contenido vamos.,93.37,51,357,2
Donde,Palabras cerca encontrar pedro salir apenas ciudad.,77.22,42,193,10
Demás,Hijo más familia luz ello debe una.,76.07,44,214,6
Francisco,Siempre sector toda peso carne.,30.88,11,233,9
Segunda,Llama personal cada primero acciones tema.,95.65,77,145,10
Siglo,Objetivo pasado amigos aparece muerto mayo puede.,41.16,62,166,10
Negro,Defensa atrás suelo hubo crisis américa.,40.76,30,261,10
Felipe,O nuestro vuelta propia decisión entonces otras.,95.61,67,340,4
Primero,Historia consecuencia estamos diario existencia instituto fue.,64.67,71,79,8
Dirección,Puerta calidad fiscal.,65.13,71,419,7
Cámara,Tres san pasó principales cultura.,30.7,13,484,8
Dolor,Acuerdo pedro acto arte manuel vamos autor.,33.91,16,254,4
Club,Gracias otra cabo precios cuadro propios manera.,59.31,22,20,4
G,U relación manos control están blanco gente.,77.4,37,78,4
Hermano,Millones contrario noche vamos tiempos.,85.65,98,421,1
Es,Sí ejército plan es.,61.95,87,365,5
C,Servicio voy exterior.,56.81,5,346,1
Tenemos,Algunos después hacer llegado alguna un estoy.,56.54,26,22,2
Internacional,Medios esas hacía interés administración diciembre allí.,41.48,94,265,1
Quiero,Muy nadie mi.,45.28,95,105,5
Ve,Riesgo tan vuelta iba.,73.3,14,234,8
Acuerdo,Aquel relaciones modo ninguna niños primeros este.,81.51,43,236,8
Caso,Organización tratamiento llamado nuevos maría tratamiento unidos.,3.64,5,43,9
Aquellas,E llega asunto riesgo se resultados perdido.,70.06,68,19,1
Análisis,Segunda bien puedo ciento.,22.36,77,153,9
Nueva,Paciente haciendo camino señor diez.,13.51,36,123,9
Información,Corte formación generales industria común juego.,12.74,31,327,9
Nueva,Un paso cuando público.,26.26,83,278,8
Larga,Mujer sueño bastante.,95.33,33,366,2
Mejor,Importantes político cual encuentra.,48.96,33,376,4
Las,Familia contra ésta enero personas compañía existe capital.,91.28,10,202,1
Ex,Campaña peso posición u sistemas.,15.77,28,182,7
Palabra,Producción qué ambiente política está norte minutos.,37.14,85,367,7
Unión,Aparece especialmente mucha aquella eso.,20.8,79,297,7
Él,Cine tiempo española conjunto aquellos j.,12.8,89,344,10
Cuba,Quería fondo proyectos por.,24.41,81,337,1
Materia,Hora después fuerte diez dijo propios.,72.71,79,65,9
Servicios,Blanca importantes debía sean intereses estoy humana.,54.01,24,359,1
Comisión,Palabra construcción nuevas plazo derecha grupos mil vino.,16.1,72,419,8
Primera,Dentro real semanas gran.,95.24,94,75,1
Viaje,Conseguir parís es señor suerte número.,62.92,99,392,5
Pequeño,Horas edad etapa has difícil.,71.42,90,238,9
Tampoco,El toda él agua.,40.14,61,247,7
Van,Rafael español quedó anterior elementos centros hombre.,9.99,95,363,7
Los,Varias sector todo casi entonces.,94.36,62,71,2
Estos,Obstante queda interior mal.,82.79,86,470,2
Personal,Anterior práctica unas todos vuelta tierra.,53.35,31,456,1
Necesidad,Policía marzo crisis conjunto.,79.69,81,127,9
Muy,Éste prensa empresas tú algunos mayores.,91.87,100,122,2
Revolución,Años trabajar hacía antes éxito general.,48.42,89,95,3
Origen,Muerto actividad revolución diferencia derechos cuestión.,6.25,68,297,8
He,Riesgo sabe productos fuego contenido cuatro.,65.8,93,355,3
Entre,Llama situación se tenido creación estoy cargo quiere.,66.12,87,400,9
Fuego,Ministerio resultados práctica grande causa primero.,57.25,56,376,5
Le,Estuvo teoría méxico sí afirmó salud he.,87.0,42,34,2
Cerca,Los comunicación pocos van paciente.,89.54,44,186,1
Junio,Llamado amor busca.,87.52,34,366,6
Principal,Aire distintas cultura valor ni siempre madre s.,65.58,99,273,8
Queda,Juez zona espera quién.,16.2,10,368,4
Fuerte,Razones congreso estudios centro.,8.86,94,243,1
Minutos,Ejército juego madrid algún.,69.77,92,169,6
Ocasión,Muchos sangre especialmente suelo desde actitud ellos.,50.65,94,389,4
Primeros,Lejos miembros imágenes lucha m del tres.,50.22,39,431,8
Señor,Acciones muchos sino.,38.56,31,475,1
Mucho,Armas hemos fútbol seguridad deben final les.,24.99,5,184,5
Desarrollo,Estamos podemos economía enero grande niño señaló.,28.24,42,430,2
Gobierno,Distintos casa oposición.,8.15,49,217,5
Viaje,Guerra uno jóvenes cantidad siquiera.,86.83,59,119,6
Riesgo,Dar posible blanco maría propia dado pueda.,23.9,10,111,9
Imágenes,Problemas fuerzas estudio estuvo cultura.,92.32,38,405,2
Siete,Lo presencia favor yo existencia.,85.97,39,123,3
Respecto,Pueden pese mal recursos principal buena final marzo.,74.73,48,338,1
Autoridades,Sí enero profesional difícil sangre.,41.54,69,37,1
Más,Segundo importante fecha serán busca habla.,34.48,77,305,10
Obra,Podrá mejor muerte y peso todas g.,98.65,35,214,8
Fecha,Cierto muy creo mesa.,1.08,79,168,5
Supuesto,Tanto instituto sur.,12.78,52,203,8
